,pokedex_number,name,german_name,japanese_name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,description
15,12,Butterfree,Smettbo,バタフリー (Butterfree),1,0,0,0,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,70,178,Medium Fast,1,Bug,,50.0,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,"It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen."
16,13,Weedle,Hornliu,ビードル (Beedle),1,0,0,0,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,70,39,Medium Fast,1,Bug,,50.0,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"It eats its weight in leaves every day. It fends off attackers with the needle on its head."
17,14,Kakuna,Kokuna,コクーン (Cocoon),1,0,0,0,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205,45,25,50,25,25,35,120,70,72,Medium Fast,1,Bug,,50.0,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
18,15,Beedrill,Bibor,スピアー (Spear),1,0,0,0,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45,70,178,Medium Fast,1,Bug,,50.0,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"Its best attack involves flying around at high speed, striking with poison needles, then flying off."
20,16,Pidgey,Taubsi,ポッポ (Poppo),1,0,0,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,70,50,Medium Slow,1,Flying,,50.0,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
21,17,Pidgeotto,Tauboga,ピジョン (Pigeon),1,0,0,0,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,70,122,Medium Slow,1,Flying,,50.0,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"It flies over its wide territory in search of prey, downing it with its highly developed claws."
22,18,Pidgeot,Tauboss,ピジョット (Pigeot),1,0,0,0,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,70,216,Medium Slow,1,Flying,,50.0,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
24,19,Rattata,Rattfratz,コラッタ (Koratta),1,0,0,0,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
26,20,Raticate,Rattikarl,ラッタ (Ratta),1,0,0,0,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,70,145,Medium Fast,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls."
28,21,Spearow,Habitak,オニスズメ (Onisuzume),1,0,0,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,70,52,Medium Fast,1,Flying,,50.0,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
29,22,Fearow,Ibitak,オニドリル (Onidrill),1,0,0,0,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,70,155,Medium Fast,1,Flying,,50.0,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,"It has the stamina to fly all day on its broad wings. It fights by using its sharp beak."
30,23,Ekans,Rettan,アーボ (Arbo),1,0,0,0,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,70,58,Medium Fast,2,Dragon,Field,50.0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"It sneaks through grass without making a sound and strikes unsuspecting prey from behind."
31,24,Arbok,Arbok,アーボック (Arbok),1,0,0,0,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,70,157,Medium Fast,2,Dragon,Field,50.0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear."
32,25,Pikachu,Pikachu,ピカチュウ (Pikachu),1,0,0,0,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190,70,112,Medium Fast,2,Fairy,Field,50.0,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
34,26,Raichu,Raichu,ライチュウ (Raichu),1,0,0,0,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75,70,218,Medium Fast,2,Fairy,Field,50.0,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,"Its tail discharges electricity into the ground, protecting it from getting shocked."
36,27,Sandshrew,Sandan,サンド (Sand),1,0,0,0,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,70,60,Medium Fast,1,Field,,50.0,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall."
38,28,Sandslash,Sandamer,サンドパン (Sandpan),1,0,0,0,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,70,158,Medium Fast,1,Field,,50.0,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"It curls up, then rolls into foes with its back. Its sharp spines inflict severe damage."
40,29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),1,0,0,0,Poison Pin Pokémon,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,70,55,Medium Slow,2,Field,Monster,0.0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal."
41,30,Nidorina,Nidorina,ニドリーナ (Nidorina),1,0,0,0,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,70,128,Medium Slow,1,Undiscovered,,0.0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorino’s."
42,31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),1,0,0,0,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,70,227,Medium Slow,1,Undiscovered,,0.0,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,"Its entire body is armored with hard scales. It will protect the young in its burrow with its life."
43,32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),1,0,0,0,Poison Pin Pokémon,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,70,55,Medium Slow,2,Field,Monster,100.0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection."
44,33,Nidorino,Nidorino,ニドリーノ (Nidorino),1,0,0,0,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,70,128,Medium Slow,2,Field,Monster,100.0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,"It has a violent disposition and stabs foes with its horn, which oozes poison upon impact."
45,34,Nidoking,Nidoking,ニドキング (Nidoking),1,0,0,0,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,70,227,Medium Slow,2,Field,Monster,100.0,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,"One swing of its mighty tail can snap a telephone pole as if it were a matchstick."
46,35,Clefairy,Piepi,ピッピ (Pippi),1,0,0,0,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150,140,113,Fast,1,Fairy,,25.0,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon."
47,36,Clefable,Pixi,ピクシー (Pixy),1,0,0,0,Fairy Pokémon,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25,140,217,Fast,1,Fairy,,25.0,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,"It is very wary and rarely shows itself to people. Its ears can hear a pin drop over half a mile away."
48,37,Vulpix,Vulpix,ロコン (Rokon),1,0,0,0,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25.0,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"It controls balls of fire. As it grows, its six tails split from their tips to make more tails."
50,38,Ninetales,Vulnona,キュウコン (Kyukon),1,0,0,0,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75,70,177,Medium Fast,1,Field,,25.0,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"Its nine tails are said to be imbued with a mystic power. It can live for a thousand years."
52,39,Jigglypuff,Pummeluff,プリン (Purin),1,0,0,0,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170,70,95,Fast,1,Fairy,,25.0,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,"When it wavers its big, round eyes, it begins singing a lullaby that makes everyone drowsy."
53,40,Wigglytuff,Knuddeluff,プクリン (Pukurin),1,0,0,0,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50,70,196,Fast,1,Fairy,,25.0,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,"Its fine fur feels sublime to the touch. It can expand its body by inhaling air."
54,41,Zubat,Zubat,ズバット (Zubat),1,0,0,0,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255,70,49,Medium Fast,1,Flying,,50.0,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,"It checks its surroundings and location using reflections of the ultrasonic waves from its mouth."
55,42,Golbat,Golbat,ゴルバット (Golbat),1,0,0,0,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90,70,159,Medium Fast,1,Flying,,50.0,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,"Its sharp fangs puncture the toughest of hides and have small holes for greedily sucking blood."
56,43,Oddish,Myrapla,ナゾノクサ (Nazonokusa),1,0,0,0,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255,70,64,Medium Slow,1,Grass,,50.0,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"It often plants its root feet in the ground during the day and sows seeds as it walks about at night."
57,44,Gloom,Duflor,クサイハナ (Kusaihana),1,0,0,0,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120,70,138,Medium Slow,1,Grass,,50.0,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away."
58,45,Vileplume,Giflor,ラフレシア (Ruffresia),1,0,0,0,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45,70,221,Medium Slow,1,Grass,,50.0,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
59,46,Paras,Paras,パラス (Paras),1,0,0,0,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190,70,57,Medium Fast,2,Bug,Grass,50.0,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,"Mushrooms named tochukaso grow on its back. They grow along with the host Paras."
60,47,Parasect,Parasek,パラセクト (Parasect),1,0,0,0,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75,70,142,Medium Fast,2,Bug,Grass,50.0,20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,"A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores."
61,48,Venonat,Bluzuk,コンパン (Kongpang),1,0,0,0,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190,70,61,Medium Fast,1,Bug,,50.0,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
62,49,Venomoth,Omot,モルフォン (Morphon),1,0,0,0,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75,70,158,Medium Fast,1,Bug,,50.0,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,"It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin."
63,50,Diglett,Digda,ディグダ (Digda),1,0,0,0,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255,70,53,Medium Fast,1,Field,,50.0,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"A Pokémon that lives underground. Because of its dark habitat, it is repelled by bright sunlight."
65,51,Dugtrio,Digdri,ダグトリオ (Dugtrio),1,0,0,0,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50,70,149,Medium Fast,1,Field,,50.0,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
67,52,Meowth,Mauzi,ニャース (Nyarth),1,0,0,0,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly."
70,53,Persian,Snobilikat,ペルシアン (Persian),1,0,0,0,Classy Cat Pokémon,1,Normal,,1.0,32.0,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90,70,154,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,"A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk."
72,54,Psyduck,Enton,コダック (Koduck),1,0,0,0,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190,70,64,Medium Fast,2,Field,Water 1,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"Overwhelmed by enigmatic abilities, it suffers a constant headache. It sometimes uses mysterious powers."
73,55,Golduck,Entoron,ゴルダック (Golduck),1,0,0,0,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75,70,175,Medium Fast,2,Field,Water 1,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"It is seen swimming dynamically and elegantly using its well-developed limbs and flippers."
74,56,Mankey,Menki,マンキー (Mankey),1,0,0,0,Pig Monkey Pokémon,1,Fighting,,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190,70,61,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason."
75,57,Primeape,Rasaff,オコリザル (Okorizaru),1,0,0,0,Pig Monkey Pokémon,1,Fighting,,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75,70,159,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"It grows angry if you see its eyes and gets angrier if you run. If you beat it, it gets even madder."
76,58,Growlithe,Fukano,ガーディ (Gardie),1,0,0,0,Puppy Pokémon,1,Fire,,0.7,19.0,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190,70,70,Slow,1,Field,,75.0,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"A Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer."
77,59,Arcanine,Arkani,ウインディ (Windie),1,0,0,0,Legendary Pokémon,1,Fire,,1.9,155.0,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75,70,194,Slow,1,Field,,75.0,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,"Its proud and regal appearance has captured the hearts of people since long ago."
78,60,Poliwag,Quapsel,ニョロモ (Nyoromo),1,0,0,0,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255,70,60,Medium Slow,1,Water 1,,50.0,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet."
79,61,Poliwhirl,Quaputzi,ニョロゾ (Nyorozo),1,0,0,0,Tadpole Pokémon,1,Water,,1.0,20.0,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120,70,135,Medium Slow,1,Water 1,,50.0,20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,"The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness."
80,62,Poliwrath,Quappo,ニョロボン (Nyorobon),1,0,0,0,Tadpole Pokémon,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45,70,230,Medium Slow,1,Water 1,,50.0,20,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,"With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting."
81,63,Abra,Abra,ケーシィ (Casey),1,0,0,0,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200,70,62,Medium Slow,1,Human-Like,,75.0,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day."
82,64,Kadabra,Kadabra,ユンゲラー (Yungerer),1,0,0,0,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100,70,140,Medium Slow,1,Human-Like,,75.0,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"It stares at its silver spoon to focus its mind. It emits more alpha waves while doing so."
83,65,Alakazam,Simsala,フーディン (Foodin),1,0,0,0,Psi Pokémon,1,Psychic,,1.5,48.0,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,50,70,225,Medium Slow,1,Human-Like,,75.0,20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,"The spoons clutched in its hands are said to have been created by its psychic powers."
85,66,Machop,Machollo,ワンリキー (Wanriky),1,0,0,0,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,180,70,61,Medium Slow,1,Human-Like,,75.0,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"Though small in stature, it is powerful enough to easily heft and throw a number of Geodude at once."
86,67,Machoke,Maschock,ゴーリキー (Goriky),1,0,0,0,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,90,70,142,Medium Slow,1,Human-Like,,75.0,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"It happily carries heavy cargo to toughen up. It willingly does hard work for people."
87,68,Machamp,Machomei,カイリキー (Kairiky),1,0,0,0,Superpower Pokémon,1,Fighting,,1.6,130.0,3,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,45,70,227,Medium Slow,1,Human-Like,,75.0,20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,"Its four muscled arms slam foes with powerful punches and chops at blinding speed."
